date;user_id;route_id;grade;attempts;success;session_duration_min;is_attempts_null;is_duration_null;is_duration_outlier;attempts_imp;session_duration_imp;day;year;month_num;month_name;week_num;weekday_num;weekday_name
2025-02-08;7;26;5c;3,00;1;73,54;False;False;False;3,00;73,54;2025-02-08;2025;2;Feb;6;6;Saturday
2025-02-21;57;19;5c;4,00;0;86,72;False;False;False;4,00;86,72;2025-02-21;2025;2;Feb;8;5;Friday
2025-01-29;36;19;7a;1,00;0;99,40;False;False;False;1,00;99,40;2025-01-29;2025;1;Jan;5;3;Wednesday
2025-01-15;45;21;6b;3,00;1;;False;True;False;3,00;88,31;2025-01-15;2025;1;Jan;3;3;Wednesday
2025-02-12;20;5;5a;3,00;0;110,24;False;False;False;3,00;110,24;2025-02-12;2025;2;Feb;7;3;Wednesday
2025-01-08;65;18;5c;1,00;1;44,32;False;False;False;1,00;44,32;2025-01-08;2025;1;Jan;2;3;Wednesday
2025-01-21;8;28;7a;5,00;1;94,79;False;False;False;5,00;94,79;2025-01-21;2025;1;Jan;4;2;Tuesday
2025-02-08;16;10;7a;3,00;0;118,59;False;False;False;3,00;118,59;2025-02-08;2025;2;Feb;6;6;Saturday
2025-02-27;14;29;6a;5,00;1;63,24;False;False;False;5,00;63,24;2025-02-27;2025;2;Feb;9;4;Thursday
2025-01-19;76;22;7b;;0;101,03;True;False;False;3,00;101,03;2025-01-19;2025;1;Jan;3;7;Sunday
2025-01-23;87;21;6b;5,00;1;85,27;False;False;False;5,00;85,27;2025-01-23;2025;1;Jan;4;4;Thursday
2025-01-11;15;6;5a;2,00;0;113,01;False;False;False;2,00;113,01;2025-01-11;2025;1;Jan;2;6;Saturday
2025-01-11;92;1;6c;4,00;0;98,09;False;False;False;4,00;98,09;2025-01-11;2025;1;Jan;2;6;Saturday
2025-01-24;98;5;7b;3,00;1;72,32;False;False;False;3,00;72,32;2025-01-24;2025;1;Jan;4;5;Friday
2025-02-22;66;9;7b;4,00;1;85,98;False;False;False;4,00;85,98;2025-02-22;2025;2;Feb;8;6;Saturday
2025-02-05;32;12;6a;5,00;1;;False;True;False;5,00;90,90;2025-02-05;2025;2;Feb;6;3;Wednesday
2025-02-09;87;26;5c;3,00;1;87,54;False;False;False;3,00;87,54;2025-02-09;2025;2;Feb;6;7;Sunday
2025-01-24;63;14;5c;5,00;1;112,39;False;False;False;5,00;112,39;2025-01-24;2025;1;Jan;4;5;Friday
2025-01-03;86;2;6a;2,00;0;73,15;False;False;False;2,00;73,15;2025-01-03;2025;1;Jan;1;5;Friday
2025-01-22;51;17;7a;1,00;0;110,06;False;False;False;1,00;110,06;2025-01-22;2025;1;Jan;4;3;Wednesday
2025-02-22;25;14;5c;3,00;1;83,96;False;False;False;3,00;83,96;2025-02-22;2025;2;Feb;8;6;Saturday
2025-01-02;58;26;6b;2,00;1;94,47;False;False;False;2,00;94,47;2025-01-02;2025;1;Jan;1;4;Thursday
2025-01-24;63;13;5a;2,00;1;;False;True;False;2,00;90,94;2025-01-24;2025;1;Jan;4;5;Friday
2025-02-13;62;27;7b;3,00;0;89,56;False;False;False;3,00;89,56;2025-02-13;2025;2;Feb;7;4;Thursday
2025-01-30;22;9;7b;5,00;0;89,73;False;False;False;5,00;89,73;2025-01-30;2025;1;Jan;5;4;Thursday
2025-02-07;58;26;6b;2,00;1;119,15;False;False;False;2,00;119,15;2025-02-07;2025;2;Feb;6;5;Friday
2025-01-02;58;25;5c;4,00;1;106,85;False;False;False;4,00;106,85;2025-01-02;2025;1;Jan;1;4;Thursday
2025-03-01;86;15;7b;2,00;1;82,75;False;False;False;2,00;82,75;2025-03-01;2025;3;Mar;9;6;Saturday
2025-01-21;49;25;6c;5,00;1;121,66;False;False;False;5,00;121,66;2025-01-21;2025;1;Jan;4;2;Tuesday
2025-02-02;52;22;5a;5,00;1;95,49;False;False;False;5,00;95,49;2025-02-02;2025;2;Feb;5;7;Sunday
2025-01-12;42;15;5a;4,00;0;97,15;False;False;False;4,00;97,15;2025-01-12;2025;1;Jan;2;7;Sunday
2025-02-27;70;24;7b;2,00;1;73,25;False;False;False;2,00;73,25;2025-02-27;2025;2;Feb;9;4;Thursday
2025-01-22;15;30;6a;5,00;0;80,05;False;False;False;5,00;80,05;2025-01-22;2025;1;Jan;4;3;Wednesday
2025-02-13;54;11;7b;3,00;0;76,23;False;False;False;3,00;76,23;2025-02-13;2025;2;Feb;7;4;Thursday
2025-01-25;60;16;6a;1,00;1;91,72;False;False;False;1,00;91,72;2025-01-25;2025;1;Jan;4;6;Saturday
2025-02-18;97;29;7b;1,00;1;102,78;False;False;False;1,00;102,78;2025-02-18;2025;2;Feb;8;2;Tuesday
2025-01-27;8;17;6c;;1;97,34;True;False;False;3,50;97,34;2025-01-27;2025;1;Jan;5;1;Monday
2025-02-28;53;26;7a;2,00;0;121,76;False;False;False;2,00;121,76;2025-02-28;2025;2;Feb;9;5;Friday
2025-02-11;60;4;5a;4,00;0;72,24;False;False;False;4,00;72,24;2025-02-11;2025;2;Feb;7;2;Tuesday
2025-01-28;5;1;7b;5,00;0;92,30;False;False;False;5,00;92,30;2025-01-28;2025;1;Jan;5;2;Tuesday
2025-03-01;68;8;6c;3,00;0;64,34;False;False;False;3,00;64,34;2025-03-01;2025;3;Mar;9;6;Saturday
2025-01-16;6;17;6a;3,00;1;71,56;False;False;False;3,00;71,56;2025-01-16;2025;1;Jan;3;4;Thursday
2025-01-15;96;3;6a;2,00;0;115,29;False;False;False;2,00;115,29;2025-01-15;2025;1;Jan;3;3;Wednesday
2025-02-16;94;29;5a;1,00;1;80,74;False;False;False;1,00;80,74;2025-02-16;2025;2;Feb;7;7;Sunday
2025-02-20;47;20;6b;2,00;0;73,93;False;False;False;2,00;73,93;2025-02-20;2025;2;Feb;8;4;Thursday
2025-02-13;99;15;7b;4,00;0;47,40;False;False;False;4,00;47,40;2025-02-13;2025;2;Feb;7;4;Thursday
2025-02-24;55;15;5c;4,00;0;73,73;False;False;False;4,00;73,73;2025-02-24;2025;2;Feb;9;1;Monday
2025-02-21;40;24;6a;5,00;1;85,89;False;False;False;5,00;85,89;2025-02-21;2025;2;Feb;8;5;Friday
2025-02-26;52;22;7a;5,00;1;62,85;False;False;False;5,00;62,85;2025-02-26;2025;2;Feb;9;3;Wednesday
2025-01-03;16;14;7a;4,00;1;84,74;False;False;False;4,00;84,74;2025-01-03;2025;1;Jan;1;5;Friday
2025-02-06;13;26;6a;4,00;1;115,41;False;False;False;4,00;115,41;2025-02-06;2025;2;Feb;6;4;Thursday
2025-02-20;30;28;6b;4,00;1;75,85;False;False;False;4,00;75,85;2025-02-20;2025;2;Feb;8;4;Thursday
2025-01-07;19;23;6b;2,00;0;71,13;False;False;False;2,00;71,13;2025-01-07;2025;1;Jan;2;2;Tuesday
2025-01-21;17;14;6c;4,00;0;67,52;False;False;False;4,00;67,52;2025-01-21;2025;1;Jan;4;2;Tuesday
2025-01-09;63;24;7a;3,00;1;67,16;False;False;False;3,00;67,16;2025-01-09;2025;1;Jan;2;4;Thursday
2025-02-08;19;2;6c;1,00;1;100,71;False;False;False;1,00;100,71;2025-02-08;2025;2;Feb;6;6;Saturday
2025-01-18;92;13;7a;4,00;0;90,97;False;False;False;4,00;90,97;2025-01-18;2025;1;Jan;3;6;Saturday
2025-01-04;58;26;7b;1,00;1;109,14;False;False;False;1,00;109,14;2025-01-04;2025;1;Jan;1;6;Saturday
2025-01-25;55;14;7b;2,00;1;130,40;False;False;False;2,00;130,40;2025-01-25;2025;1;Jan;4;6;Saturday
2025-03-01;90;27;5c;1,00;0;53,39;False;False;False;1,00;53,39;2025-03-01;2025;3;Mar;9;6;Saturday
2025-01-14;90;24;7b;2,00;1;97,60;False;False;False;2,00;97,60;2025-01-14;2025;1;Jan;3;2;Tuesday
2025-02-19;62;19;5c;3,00;1;67,63;False;False;False;3,00;67,63;2025-02-19;2025;2;Feb;8;3;Wednesday
2025-02-27;23;7;7b;2,00;1;105,78;False;False;False;2,00;105,78;2025-02-27;2025;2;Feb;9;4;Thursday
2025-01-09;9;3;5a;2,00;0;84,56;False;False;False;2,00;84,56;2025-01-09;2025;1;Jan;2;4;Thursday
2025-01-26;12;15;7b;5,00;0;90,55;False;False;False;5,00;90,55;2025-01-26;2025;1;Jan;4;7;Sunday
2025-02-22;1;23;6c;4,00;1;64,34;False;False;False;4,00;64,34;2025-02-22;2025;2;Feb;8;6;Saturday
2025-01-02;58;14;6a;4,00;1;81,47;False;False;False;4,00;81,47;2025-01-02;2025;1;Jan;1;4;Thursday
2025-01-20;1;11;6c;3,00;1;91,79;False;False;False;3,00;91,79;2025-01-20;2025;1;Jan;4;1;Monday
2025-01-28;34;15;6a;3,00;1;117,12;False;False;False;3,00;117,12;2025-01-28;2025;1;Jan;5;2;Tuesday
2025-02-16;96;28;6b;4,00;0;74,11;False;False;False;4,00;74,11;2025-02-16;2025;2;Feb;7;7;Sunday
2025-03-01;48;13;6c;5,00;1;78,99;False;False;False;5,00;78,99;2025-03-01;2025;3;Mar;9;6;Saturday
2025-01-07;89;18;6b;4,00;0;108,89;False;False;False;4,00;108,89;2025-01-07;2025;1;Jan;2;2;Tuesday
2025-02-13;1;26;5c;5,00;1;72,81;False;False;False;5,00;72,81;2025-02-13;2025;2;Feb;7;4;Thursday
2025-01-08;16;6;5c;3,00;1;112,85;False;False;False;3,00;112,85;2025-01-08;2025;1;Jan;2;3;Wednesday
2025-02-16;61;3;5a;1,00;0;89,82;False;False;False;1,00;89,82;2025-02-16;2025;2;Feb;7;7;Sunday
2025-02-04;64;19;7b;3,00;1;96,06;False;False;False;3,00;96,06;2025-02-04;2025;2;Feb;6;2;Tuesday
2025-01-14;63;15;6c;3,00;0;97,35;False;False;False;3,00;97,35;2025-01-14;2025;1;Jan;3;2;Tuesday
2025-01-17;69;25;6b;;0;77,68;True;False;False;2,00;77,68;2025-01-17;2025;1;Jan;3;5;Friday
2025-02-05;22;23;6a;2,00;0;97,80;False;False;False;2,00;97,80;2025-02-05;2025;2;Feb;6;3;Wednesday
2025-02-19;93;5;5c;2,00;0;74,55;False;False;False;2,00;74,55;2025-02-19;2025;2;Feb;8;3;Wednesday
2025-02-09;67;28;7b;2,00;1;79,96;False;False;False;2,00;79,96;2025-02-09;2025;2;Feb;6;7;Sunday
2025-01-04;76;10;5c;5,00;1;101,17;False;False;False;5,00;101,17;2025-01-04;2025;1;Jan;1;6;Saturday
2025-01-02;26;7;6a;4,00;0;95,87;False;False;False;4,00;95,87;2025-01-02;2025;1;Jan;1;4;Thursday
2025-01-06;16;25;7b;1,00;1;88,50;False;False;False;1,00;88,50;2025-01-06;2025;1;Jan;2;1;Monday
2025-02-23;51;17;7b;3,00;0;64,83;False;False;False;3,00;64,83;2025-02-23;2025;2;Feb;8;7;Sunday
2025-02-11;86;7;6b;5,00;1;69,82;False;False;False;5,00;69,82;2025-02-11;2025;2;Feb;7;2;Tuesday
2025-01-04;57;22;6b;1,00;1;95,53;False;False;False;1,00;95,53;2025-01-04;2025;1;Jan;1;6;Saturday
2025-02-23;29;26;6c;5,00;1;104,64;False;False;False;5,00;104,64;2025-02-23;2025;2;Feb;8;7;Sunday
2025-01-29;78;30;6c;5,00;0;67,81;False;False;False;5,00;67,81;2025-01-29;2025;1;Jan;5;3;Wednesday
2025-01-18;92;12;7a;3,00;1;73,20;False;False;False;3,00;73,20;2025-01-18;2025;1;Jan;3;6;Saturday
2025-01-26;69;25;7a;4,00;1;92,68;False;False;False;4,00;92,68;2025-01-26;2025;1;Jan;4;7;Sunday
2025-02-13;47;17;5a;2,00;1;;False;True;False;2,00;90,94;2025-02-13;2025;2;Feb;7;4;Thursday
2025-02-03;94;13;5c;4,00;0;57,52;False;False;False;4,00;57,52;2025-02-03;2025;2;Feb;6;1;Monday
2025-01-10;62;20;6c;3,00;0;93,23;False;False;False;3,00;93,23;2025-01-10;2025;1;Jan;2;5;Friday
2025-02-05;69;25;6b;3,00;1;78,03;False;False;False;3,00;78,03;2025-02-05;2025;2;Feb;6;3;Wednesday
2025-01-14;76;4;6a;3,00;1;122,82;False;False;False;3,00;122,82;2025-01-14;2025;1;Jan;3;2;Tuesday
2025-01-31;16;10;6b;1,00;0;94,98;False;False;False;1,00;94,98;2025-01-31;2025;1;Jan;5;5;Friday
