route_id;grade;sessions;users;success_rate;attempts_mean
1;5c;6;6;0,50;3,50
8;6c;6;6;0,33;1,83
11;5a;6;6;0,67;3,33
8;6a;6;6;0,50;3,67
24;6a;6;6;0,50;3,50
19;6c;6;6;0,50;3,83
19;5c;6;6;0,67;3,00
15;5a;6;6;0,17;3,33
13;5c;6;6;0,67;3,67
12;7a;6;6;0,33;2,83
26;6b;6;5;1,00;1,50
19;7b;5;5;0,80;2,40
5;5c;5;5;0,60;2,40
23;6a;5;5;0,00;2,80
15;7b;5;5;0,40;3,40
17;5a;5;5;0,80;2,40
30;5a;5;4;0,60;3,60
6;5c;4;4;0,50;2,25
15;7a;4;4;0,50;3,25
14;6a;4;4;0,75;4,25
15;6a;4;4;0,75;3,50
15;5c;4;4;0,75;4,00
7;5c;4;4;1,00;3,00
5;5a;4;4;0,25;3,00
25;6b;4;3;0,50;2,75
17;6c;4;4;1,00;3,12
26;7a;4;4;0,50;2,75
28;6b;4;4;0,25;4,25
30;6c;4;4;0,50;4,50
29;7b;4;4;1,00;3,25
26;5c;4;4;1,00;3,50
25;6c;4;4;1,00;3,75
23;6c;4;4;1,00;4,00
22;6c;4;4;0,50;4,50
10;6c;4;4;0,75;3,25
11;7a;4;4;0,00;2,25
4;7a;4;4;0,75;2,50
6;6c;4;4;0,25;3,50
6;7b;4;4;0,75;3,25
1;7b;4;4;0,25;3,25
6;5a;4;4;0,50;1,25
8;5c;4;4;0,75;3,25
8;7b;3;3;1,00;2,33
9;5c;3;3;1,00;3,00
9;5a;3;3;0,67;3,33
12;5a;3;3;0,33;2,00
9;7a;3;3;0,33;3,67
9;6c;3;3;0,33;2,67
24;5a;3;3;0,00;4,67
21;7b;3;3;0,67;2,33
13;6c;3;3;1,00;2,67
14;7b;3;3;1,00;3,33
15;6c;3;3;0,33;2,83
17;6a;3;2;0,33;3,67
21;6a;3;3;0,67;2,33
20;5a;3;3;0,67;2,33
9;7b;3;3;0,67;3,67
10;5c;3;3;0,67;4,00
4;6a;3;3;0,33;2,00
4;6c;3;3;1,00;4,17
6;7a;3;3;0,33;3,67
3;5a;3;3;0,33;2,33
3;5c;3;3;0,67;2,67
2;6a;3;3;0,33;1,67
5;6a;3;3;0,33;3,00
5;7b;3;3;0,33;3,33
5;6b;3;3;0,33;2,00
4;6b;3;3;0,67;3,00
28;6a;3;3;0,67;3,00
29;5a;3;3;0,67;3,00
30;5c;3;3;0,67;2,00
29;6a;3;3;1,00;3,67
29;6c;3;3;0,33;3,00
30;6a;3;3;0,33;4,00
22;7b;3;3;0,33;2,33
27;6c;3;3;0,33;2,67
22;7a;3;3;0,33;3,00
24;7a;3;3;0,67;3,67
22;5c;3;3;0,33;2,67
23;7b;3;3;1,00;3,67
1;5a;3;2;0,33;2,33
1;6a;3;3;0,33;2,00
14;5c;3;3;0,67;3,33
17;7b;3;3;0,00;3,00
19;5a;3;3;0,33;4,33
20;6a;3;3;0,33;3,00
20;6c;3;3;0,67;3,33
21;6b;3;3;1,00;3,00
21;5c;3;3;0,00;4,00
20;7a;3;3;0,67;3,33
13;6b;3;3;0,00;4,00
14;7a;3;3;0,67;3,67
18;6b;3;3;0,33;2,67
27;5c;3;3;0,00;1,67
30;7a;3;3;0,33;3,67
26;6a;2;2;1,00;3,00
23;6b;2;2;0,50;1,50
22;6a;2;2;0,50;4,00
26;6c;2;2;0,50;3,00
28;7a;2;2;1,00;5,00
30;6b;2;2;1,00;3,50
27;7b;2;2;0,00;2,00
27;7a;2;2;0,50;3,50
27;6a;2;2;1,00;3,50
27;6b;2;2;0,50;3,50
25;7a;2;2;1,00;2,50
25;5a;2;2;0,50;4,00
24;7b;2;2;1,00;2,00
25;5c;2;2;1,00;4,50
7;6c;2;2;0,00;5,00
12;6a;2;2;0,50;4,50
4;5c;2;2;1,00;1,50
5;6c;2;2;0,50;4,50
6;6b;2;2;1,00;2,00
4;5a;2;2;0,50;3,00
8;5a;2;2;1,00;4,00
7;6a;2;2;0,50;3,50
2;7a;2;2;0,50;3,50
2;7b;2;2;0,50;3,00
1;6c;2;2;0,50;2,50
2;5a;2;2;0,50;1,50
1;6b;2;2;0,50;2,00
3;6a;2;2;0,50;3,00
2;5c;2;2;1,00;2,00
2;6c;2;2;1,00;1,00
11;7b;2;2;0,50;4,00
11;6c;2;2;1,00;2,50
11;5c;2;2;1,00;3,50
25;7b;2;2;1,00;2,00
26;7b;2;2;1,00;3,00
17;7a;2;2;0,50;1,50
18;6a;2;2;1,00;1,50
18;5a;2;2;0,50;4,00
18;5c;2;2;1,00;1,50
20;6b;2;2;0,00;3,00
26;5a;2;2;0,50;2,50
16;5c;2;2;0,50;2,50
3;7b;2;2;0,50;2,50
8;7a;2;2;1,00;4,00
10;5a;2;2;1,00;3,00
7;6b;2;2;1,00;3,50
19;7a;2;2;0,00;2,50
17;6b;2;2;0,50;3,00
20;7b;2;2;0,00;3,50
14;6b;2;2;1,00;1,50
14;6c;2;2;0,00;3,50
22;5a;2;2;0,50;5,00
22;6b;2;2;1,00;3,00
13;7a;2;2;0,50;4,00
24;5c;1;1;0,00;4,00
23;7a;1;1;0,00;4,00
23;5a;1;1;1,00;2,00
24;6b;1;1;1,00;2,00
24;6c;1;1;1,00;3,00
28;7b;1;1;1,00;2,00
25;6a;1;1;0,00;2,00
11;6a;1;1;1,00;3,00
11;6b;1;1;1,00;2,00
7;7b;1;1;1,00;2,00
10;7a;1;1;0,00;3,00
12;6c;1;1;0,00;4,00
10;6b;1;1;0,00;1,00
6;6a;1;1;1,00;2,00
5;7a;1;1;0,00;2,00
3;6c;1;1;1,00;2,00
4;7b;1;1;0,00;4,00
2;6b;1;1;0,00;2,00
1;7a;1;1;0,00;3,00
3;6b;1;1;1,00;3,00
10;7b;1;1;1,00;4,00
8;6b;1;1;1,00;4,00
10;6a;1;1;1,00;4,00
18;7a;1;1;1,00;2,00
16;5a;1;1;0,00;3,00
12;7b;1;1;0,00;1,00
13;6a;1;1;0,00;1,00
13;5a;1;1;1,00;2,00
16;6a;1;1;1,00;1,00
30;7b;1;1;0,00;5,00
28;6c;1;1;1,00;1,00
28;5c;1;1;1,00;3,00
29;5c;1;1;1,00;3,00
29;7a;1;1;0,00;3,00
21;5a;1;1;0,00;2,00
19;6b;1;1;1,00;4,00
27;5a;1;1;0,00;1,00
12;6b;0;0;;
12;5c;0;0;;
9;6a;0;0;;
9;6b;0;0;;
7;5a;0;0;;
3;7a;0;0;;
7;7a;0;0;;
16;7a;0;0;;
21;7a;0;0;;
21;6c;0;0;;
20;5c;0;0;;
19;6a;0;0;;
18;7b;0;0;;
18;6c;0;0;;
16;7b;0;0;;
17;5c;0;0;;
14;5a;0;0;;
13;7b;0;0;;
15;6b;0;0;;
16;6b;0;0;;
16;6c;0;0;;
23;5c;0;0;;
28;5a;0;0;;
29;6b;0;0;;
